timestamp_utc,row_index,total_rows,patent_id,source_pdf,parse_status,parse_error,used_ocr,text_length
2026-05-11T09:15:22.533674+00:00,74,500,CN103682295A,CN103682295A.pdf,success_ocr,,True,14704
2026-05-11T09:15:22.562085+00:00,75,500,CN111211351A,CN111211351A.pdf,success,,False,8627
2026-05-11T09:15:22.585416+00:00,76,500,CN108615828A,CN108615828A.pdf,success,,False,8835
2026-05-11T09:16:17.146956+00:00,77,500,CN103682295B,CN103682295B.pdf,success_ocr,,True,14812
2026-05-11T09:16:17.174043+00:00,78,500,CN105304859B,CN105304859B.pdf,success,,False,12460
2026-05-11T09:16:17.198619+00:00,79,500,CN108258246A,CN108258246A.pdf,success,,False,9894
2026-05-11T09:16:17.221161+00:00,80,500,CN108172837A,CN108172837A.pdf,success,,False,11582
2026-05-11T09:16:17.245832+00:00,81,500,CN108232112A,CN108232112A.pdf,success,,False,11040
2026-05-11T09:16:17.276844+00:00,82,500,CN115244738A,CN115244738A.pdf,success,,False,17488
2026-05-11T09:16:17.300231+00:00,83,500,CN111129496A,CN111129496A.pdf,success,,False,11644
2026-05-11T09:16:17.325467+00:00,84,500,CN111129496B,CN111129496B.pdf,success,,False,11763
2026-05-11T09:16:17.347315+00:00,85,500,CN109585841A,CN109585841A.pdf,success,,False,7871
2026-05-11T09:16:17.368255+00:00,86,500,CN108155386A,CN108155386A.pdf,success,,False,11513
2026-05-11T09:16:17.386982+00:00,87,500,CN108199045A,CN108199045A.pdf,success,,False,10009
2026-05-11T09:16:17.407936+00:00,88,500,CN108063256A,CN108063256A.pdf,success,,False,10086
2026-05-11T09:16:17.430366+00:00,89,500,CN109888284A,CN109888284A.pdf,success,,False,11581
2026-05-11T09:16:17.449169+00:00,90,500,CN111129414A,CN111129414A.pdf,success,,False,9597
2026-05-11T09:16:17.470579+00:00,91,500,CN108258192A,CN108258192A.pdf,success,,False,11026
2026-05-11T09:17:45.002489+00:00,92,500,CN107004851A,CN107004851A.pdf,success_ocr,,True,23215
2026-05-11T09:18:10.822862+00:00,93,500,CN106099114A,CN106099114A.pdf,success_ocr,,True,6861
2026-05-11T09:18:10.871117+00:00,94,500,CN116425219A,CN116425219A.pdf,success,,False,19408
2026-05-11T09:18:10.911308+00:00,95,500,CN117239215A,CN117239215A.pdf,success,,False,25044
2026-05-11T09:18:43.299816+00:00,96,500,CN206516677U,CN206516677U.pdf,success_ocr,,True,8591
2026-05-11T09:18:43.328260+00:00,97,500,CN108428897A,CN108428897A.pdf,success,,False,11785
2026-05-11T09:18:43.351145+00:00,98,500,CN114242963A,CN114242963A.pdf,success,,False,6569
2026-05-11T09:18:43.381407+00:00,99,500,CN113964444B,CN113964444B.pdf,success,,False,12124
2026-05-11T09:18:43.406283+00:00,100,500,CN108281640A,CN108281640A.pdf,success,,False,15089
2026-05-11T09:18:43.432495+00:00,101,500,CN111029582A,CN111029582A.pdf,success,,False,7673
2026-05-11T09:18:43.480409+00:00,102,500,CN112531163A,CN112531163A.pdf,success,,False,30006
2026-05-11T09:18:43.537397+00:00,103,500,CN112531163B,CN112531163B.pdf,success,,False,30260
2026-05-11T09:18:43.564522+00:00,104,500,CN115020793A,CN115020793A.pdf,success,,False,9419
2026-05-11T09:18:43.594159+00:00,105,500,CN119827985A,CN119827985A.pdf,success,,False,12443
2026-05-11T09:18:43.646654+00:00,106,500,CN116425219B,CN116425219B.pdf,success,,False,19367
2026-05-11T09:19:16.055765+00:00,107,500,CN102754255A,CN102754255A.pdf,success_ocr,,True,8492
2026-05-11T09:19:46.620209+00:00,108,500,CN102754255B,CN102754255B.pdf,success_ocr,,True,8853
2026-05-11T09:19:46.658544+00:00,109,500,CN108305987A,CN108305987A.pdf,success,,False,16110
2026-05-11T09:19:46.691959+00:00,110,500,CN108305987B,CN108305987B.pdf,success,,False,16203
2026-05-11T09:19:46.721524+00:00,111,500,CN121759852A,CN121759852A.pdf,success,,False,12158
2026-05-11T09:19:46.748196+00:00,112,500,CN111943219B,CN111943219B.pdf,success,,False,10012
